"北町",35.69995,139.735037,xn775dzzq3
"早稲田南町",35.704367,139.723244,xn7757z358
"中井一丁目",35.714969,139.684236,xn774tdyy8
"若葉三丁目",35.682624,139.724309,xn76gxb4k7
"南元町",35.68065,139.724021,xn76grryve
"横寺町",35.701911,139.73523,xn775g24dy
"市谷砂土原町一丁目",35.694693,139.735376,xn775f00wm
"市谷田町一丁目",35.692921,139.73631,xn775c8yk4
"市谷鷹匠町",35.695949,139.733482,xn775dnzfp
"若葉二丁目",35.684961,139.72478,xn77580rzq
"四谷二丁目",35.687101,139.725681,xn77589hkm
"信濃町",35.682271,139.719788,xn76grub71
"須賀町",35.68524,139.722118,xn7752q996
"舟町",35.69007,139.721116,xn7753jv9z
"愛住町",35.690028,139.719198,xn7753hmmr
"左門町",35.685902,139.720502,xn7752mm7w
"四谷三丁目",35.688019,139.720751,xn7752v9c2
"市谷台町",35.693596,139.718343,xn7753gf32
"余丁町",35.696362,139.71569,xn77563f7s
"大京町",35.683849,139.717044,xn77524c7p
"四谷四丁目",35.688582,139.716267,xn7752fm0c
"富久町",35.693492,139.714956,xn7753c3dm
"新宿二丁目",35.690064,139.708387,xn7751ht9q
"新宿一丁目",35.689556,139.712248,xn7751p6er
"新宿四丁目",35.688834,139.703724,xn7750cns8
"内藤町",35.685704,139.711617,xn7750quk9
"歌舞伎町二丁目",35.696556,139.703825,xn775435x0
"新宿三丁目",35.691227,139.703563,xn77513h2y
"新宿五丁目",35.693168,139.707875,xn7751spv2
"西新宿四丁目",35.68754,139.68762,xn7748tqvr
"西新宿二丁目",35.68945,139.691774,xn774c06n7
"西新宿三丁目",35.684529,139.689179,xn7748nt3y
"市谷田町二丁目",35.694703,139.737466,xn775f18wy
"市谷左内町",35.694183,139.733332,xn7759ytwt
"市谷長延寺町",35.694317,139.73457,xn7759zw7q
"神楽坂二丁目",35.700667,139.741673,xn775ghg2y
"揚場町",35.70214,139.742855,xn775gmsh9
"下宮比町",35.703242,139.743644,xn775gw4qy
"市谷砂土原町二丁目",35.695627,139.735483,xn775f0q0g
"市谷田町三丁目",35.696372,139.738875,xn775f6dry
"市谷砂土原町三丁目",35.696844,139.736692,xn775f3jhy
"神楽河岸",35.700818,139.743435,xn775gnh64
"神楽坂一丁目",35.699633,139.741932,xn775fuvrj
"神楽坂四丁目",35.702219,139.739927,xn775g7s2r
"神楽坂三丁目",35.701456,139.740523,xn775g7bn1
"袋町",35.700537,139.738001,xn775g44eq
"南町",35.698695,139.736525,xn775f9pcp
"白銀町",35.703842,139.738197,xn775gdjzy
"筑土八幡町",35.704248,139.740147,xn775gg8m6
"神楽坂六丁目",35.703039,139.737006,xn775g93k0
"岩戸町",35.701453,139.737424,xn775g38jc
"神楽坂五丁目",35.702155,139.738616,xn775g6s1u
"住吉町",35.693058,139.721362,xn7753tzps
"払方町",35.697266,139.734844,xn775drz9u
"若宮町",35.699535,139.739381,xn775fghge
"市谷船河原町",35.697993,139.74006,xn775feegk
"市谷八幡町",35.692142,139.734458,xn7759x9bc
"中町",35.699231,139.735864,xn775fbe1d
"細工町",35.698992,139.732996,xn775dy3wy
"南山伏町",35.699136,139.731255,xn775dv4w1
"市谷加賀町一丁目",35.696438,139.730974,xn775dkfzd
"納戸町",35.69752,139.733051,xn775dw90h
"箪笥町",35.700527,139.734843,xn775epf9u
"市谷加賀町二丁目",35.696825,139.728614,xn775d7m0d
"東榎町",35.705069,139.729478,xn775egvhg
"二十騎町",35.698331,139.730641,xn775dstzg
"市谷甲良町",35.698878,139.728113,xn775dfcj1
"原町一丁目",35.700392,139.725522,xn775e11be
"北山伏町",35.700081,139.730101,xn775eh253
"市谷山伏町",35.700056,139.728198,xn775dfzyu
"市谷柳町",35.699274,139.726406,xn775dcem5
"市谷仲之町",35.694719,139.723009,xn7756p0y1
"河田町",35.696752,139.719557,xn7756ksts
"原町三丁目",35.69977,139.722755,xn7756zn0p
"百人町四丁目",35.708209,139.698092,xn774ump3k
"市谷薬王寺町",35.696809,139.725201,xn775d2ucp
"原町二丁目",35.700576,139.723995,xn7757pfvj
"新宿六丁目",35.695364,139.709795,xn7754jsd4
"戸山二丁目",35.702734,139.712125,xn7755rr82
"高田馬場四丁目",35.710764,139.699185,xn774uvy6b
"西新宿一丁目",35.690383,139.697501,xn774chxe9
"大久保一丁目",35.699644,139.70496,xn7754fj3x
"新宿七丁目",35.699527,139.710776,xn7754ykc4
"西新宿八丁目",35.695779,139.692462,xn774f0yyr
"北新宿三丁目",35.703853,139.69098,xn774exy5b
"西新宿五丁目",35.692885,139.685558,xn7749eyjk
"西新宿六丁目",35.693426,139.690969,xn7749zc78
"北新宿二丁目",35.698586,139.689632,xn774dwzk6
"百人町三丁目",35.706008,139.697743,xn774uhf96
"津久戸町",35.703229,139.741231,xn775gs6qs
"東五軒町",35.706614,139.739298,xn775u5n1e
"天神町",35.705445,139.730652,xn775euz21
"赤城元町",35.704664,139.736364,xn775gbftr
"改代町",35.707262,139.734464,xn775sr9ch
"赤城下町",35.705625,139.733786,xn775sp034
"水道町",35.708049,139.736088,xn775u2wqy
"新小川町",35.706239,139.742185,xn775uj5uv
"築地町",35.705976,139.735788,xn775u06ru
"西五軒町",35.706956,139.737522,xn775u3b07
